Date,cad_oas,cad_ig_er_index,tsx,s&p_500,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,spx_1bf_eps,spx_1bf_sales,tsx_1bf_eps,tsx_1bf_sales
2003-11-18,80.250545,101.90400177680998,7737.39,1506.32,19.11,405.524,0.36977,-0.17776,5.7,0.3537,0.1,1.0,64.6115,738.9341,560.4854,6378.6926
2003-11-19,82.801336,101.95160948430524,7801.09,1518.51,18.8,413.633,0.40873,-0.17687,5.7,0.4087,0.1,1.0,64.6173,739.3311,560.9816,6389.3538
2003-11-20,74.367794,101.93579674775548,7809.78,1505.76,19.48,406.952,0.42674,-0.17598,5.7,0.4209,0.1,1.0,64.579,739.1984,560.1786,6395.5928
2003-11-21,73.317473,101.95843782610125,7783.59,1508.21,18.98,408.332,0.4246,-0.1751,5.7,0.4209,0.11,1.0,64.6938,740.3224,560.039,6406.0664
2003-11-24,84.962356,102.04649195709824,7850.15,1532.69,17.44,412.792,0.42248,-0.17423,5.7,0.4209,0.11,1.0,64.8628,741.5457,561.3624,6374.1137
2003-11-25,78.031108,102.01856113347525,7822.34,1535.49,16.71,410.529,0.46318,-0.17336,5.7,0.4209,0.11,1.0,64.8542,740.7041,561.8486,6366.7349
2003-11-26,80.155512,102.137521380642,7860.39,1542.4,16.23,416.885,0.51332,-0.17249,5.7,0.4669,0.11,1.0,64.9272,741.1456,561.4371,6329.2498
2003-11-27,80.155512,102.137521380642,7880.5,1542.4,16.23,416.885,0.51075,-0.17163,5.7,0.4669,0.11,1.0,64.9503,743.097,561.6183,6061.929
2003-11-28,79.693865,102.19205428584524,7859.39,1542.07,16.32,422.961,0.5082,-0.17077,5.7,0.4669,0.06,1.0,64.9663,743.2469,562.8038,6070.9267
2003-11-30,79.693865,102.19205428584524,7859.39,1542.07,16.32,422.961,0.5082,-0.17077,6.3,0.4669,0.06,1.0,64.9663,743.2469,562.8038,6070.9267
2003-12-01,77.708959,102.19251536034298,7924.57,1559.5,16.77,423.51,0.54558,-0.14584,6.3,0.4669,0.06,1.0,65.0555,744.3682,561.5209,6060.0696
2003-12-02,72.00824,102.18706317963,7927.6,1554.42,16.27,424.467,0.55356,-0.14511,6.3,0.4867,0.06,1.0,65.0171,744.7337,562.3258,6069.3294
2003-12-03,74.852232,102.29255843719724,7959.88,1552.09,16.63,428.964,0.55758,-0.15041,6.3,0.4867,0.06,1.0,64.9792,747.5982,562.7317,6093.7701
2003-12-04,75.0055,102.301550903277,7993.34,1559.47,16.3,426.817,0.55321,-0.14966,6.3,0.4797,0.06,1.0,65.0586,749.0447,563.7137,6111.2659
2003-12-05,66.455945,102.2970047289075,7990.28,1547.52,17.09,417.689,0.53935,-0.14891,6.3,0.4083,0.12,1.0,64.9469,749.7574,563.2881,6104.8705
2003-12-08,71.188723,102.39457697109,7990.77,1558.96,16.54,419.886,0.53665,-0.14817,6.3,0.4083,0.12,1.0,64.988,749.9201,564.0781,6111.3395
2003-12-09,76.628956,102.40390036153572,7975.94,1545.68,17.63,426.181,0.54534,-0.14743,6.3,0.3745,0.12,1.0,64.8934,748.7532,563.0322,6126.8381
2003-12-10,67.905224,102.35818840673474,7887.12,1544.31,17.87,425.313,0.54261,-0.14669,6.3,0.3745,0.12,1.0,64.9242,749.6057,561.5748,6128.5895
2003-12-11,67.66342,102.352529398293,7956.18,1562.23,16.73,421.314,0.56148,-0.13406,6.3,0.3707,0.12,1.0,64.9893,749.1155,562.6231,6109.7603
2003-12-12,66.262961,102.59814892871474,7979.2,1566.5,16.41,419.678,0.53646,-0.13339,6.3,0.3707,0.13,1.0,65.0675,749.7506,564.3069,6112.4724
2003-12-15,67.004365,102.67471554498223,7932.11,1557.66,17.23,420.186,0.54616,-0.13272,6.3,0.353,0.13,1.0,65.1013,749.6599,564.4554,6124.7729
2003-12-16,66.488481,102.65689304825848,7987.25,1568.02,15.93,417.07,0.57693,-0.36619,6.3,0.4308,0.13,1.0,65.1129,750.0075,564.5796,6136.3833
2003-12-17,64.630304,102.65577416069172,8040.17,1570.15,15.58,413.028,0.57404,-0.36436,6.3,0.4308,0.13,1.0,65.1249,750.7697,566.3894,6155.616
2003-12-18,64.40403,102.68522642926574,8124.66,1588.9,16.16,406.595,0.58473,-0.36254,6.3,0.4407,0.13,1.0,65.3243,752.033,571.4045,6158.6921
2003-12-19,69.327974,102.76294220057248,8113.82,1588.19,16.42,408.935,0.5818,-0.36073,6.3,0.4407,0.08,1.0,65.3515,751.9735,569.5113,6171.8457
2003-12-22,66.601786,102.753206163585,8135.43,1594.43,16.94,410.197,0.5789,-0.35892,6.3,0.4407,0.08,1.0,65.4612,752.8759,567.0239,6140.6564
2003-12-23,69.918229,102.77618220195974,8138.43,1598.93,16.49,416.949,0.61335,-0.39334,6.3,0.4261,0.08,1.0,65.5549,753.4247,568.9635,6137.3672
2003-12-24,61.936804,102.685770234855,8136.78,1596.05,16.66,409.773,0.52324,-0.39137,6.3,0.3409,0.08,1.0,65.5813,753.4099,569.0685,6144.3773
2003-12-25,61.936804,102.685770234855,8136.78,1596.05,16.66,409.773,0.52062,-0.38941,6.3,0.3409,0.08,1.0,65.5973,753.5313,569.2374,6144.4824
2003-12-26,66.142013,102.75684633161096,8136.78,1598.75,17.45,410.376,0.51802,-0.38747,6.3,0.3409,0.0,1.0,65.6211,753.7798,569.4063,6144.3586
2003-12-29,67.051146,102.79320059283074,8260.54,1619.16,17.09,417.59,0.51543,-0.38553,6.3,0.3409,0.0,1.0,65.7298,754.8267,567.1577,6115.1694
2003-12-30,67.364027,102.82510049101424,8213.75,1619.59,17.68,415.791,0.50179,-0.3836,6.3,0.3409,0.0,1.0,65.7566,754.939,566.7007,6109.1607
2003-12-31,66.942184,102.80986182752623,8220.89,1622.94,18.31,414.849,0.501,-0.38168,7.3,0.349,0.0,1.0,65.7748,754.983,565.8579,6113.5497
2004-01-01,66.942184,102.80986182752623,8220.89,1622.94,18.31,414.849,0.49849,-0.37977,7.3,0.349,0.0,1.0,65.8174,754.8946,565.8579,6113.5497
2004-01-02,72.793447,102.90408809398978,8293.7,1618.05,18.22,419.626,0.53837,-0.36283,7.3,0.349,0.0,1.0,65.891,754.9213,565.8579,6113.5497
2004-01-05,64.177687,102.87020916022178,8381.66,1638.1,17.49,426.311,0.54706,-0.36102,7.3,0.3967,0.0,1.0,66.0569,755.7619,565.8579,6113.5497
2004-01-06,60.005376,102.81697626996473,8405.1,1640.31,16.73,422.164,0.56843,-0.35921,7.3,0.4217,0.0,1.0,66.159,756.0958,565.8579,6113.5497
2004-01-07,64.533334,102.86188567380822,8388.53,1644.6,15.5,418.062,0.56559,-0.35741,7.3,0.4217,0.0,1.0,66.3093,756.6096,565.8579,6113.5497
2004-01-08,66.991459,102.9199516556698,8386.42,1652.83,15.61,421.826,0.56327,-0.35563,7.3,0.401,0.0,1.0,66.5369,756.9523,565.8579,6113.5497
2004-01-09,54.748809,102.79583650617572,8352.19,1638.14,16.75,409.959,0.54996,-0.35385,7.3,0.393,0.02,1.0,66.6507,755.7739,565.8579,6113.5497
2004-01-12,64.178197,102.90474710520412,8380.37,1646.03,16.82,411.376,0.54721,-0.35208,7.3,0.393,0.02,1.0,66.7958,755.1372,565.8579,6113.5497
2004-01-13,62.186854,102.925499275814,8380.34,1637.33,18.04,405.401,0.54448,-0.36817,7.3,0.393,0.02,1.0,66.8041,755.1042,565.8579,6113.5497
2004-01-14,61.852783,102.9522504018615,8403.77,1650.96,16.75,403.763,0.56321,-0.36633,7.3,0.393,0.02,1.0,66.7924,754.6389,565.8579,6113.5497
2004-01-15,61.836117,103.00899836129446,8423.94,1653.21,15.56,398.048,0.57578,-0.3447,7.3,0.3712,0.02,1.0,66.739,754.0053,565.8579,6113.5497
2004-01-16,64.525331,103.06610512714516,8522.26,1664.57,15.0,402.171,0.5975,-0.34297,7.3,0.3327,0.0,1.0,66.8828,754.9697,565.8579,6113.5497
2004-01-19,64.525331,103.06610512714516,8580.36,1664.57,15.0,402.171,0.59451,-0.34126,7.3,0.3327,0.0,1.0,66.9706,754.1587,565.8579,6113.5497
2004-01-20,55.443449,103.0451010723738,8623.62,1663.03,15.21,405.7,0.58705,-0.33955,7.3,0.2973,0.0,1.0,67.0275,754.2134,565.8579,6113.5497
2004-01-21,56.180454,103.02755656945295,8621.88,1676.07,14.34,404.402,0.60915,-0.33785,7.3,0.314,0.0,1.0,66.9928,754.4772,565.8579,6113.5497
2004-01-22,54.6445,103.02157920408628,8589.11,1670.73,14.71,397.798,0.60816,-0.33616,7.3,0.315,0.0,1.0,66.9229,752.7049,565.8579,6113.5497
2004-01-23,69.15961,103.2245628828841,8604.73,1667.26,14.84,406.111,0.60512,-0.33448,7.3,0.315,0.16,1.0,67.0038,754.3761,565.8579,6113.5497
2004-01-26,62.255893,103.19159381639322,8594.92,1687.44,14.55,408.625,0.60209,-0.33281,7.3,0.315,0.16,1.0,67.112,754.2041,565.8579,6113.5497
2004-01-27,55.951397,103.12053061179944,8588.18,1670.91,15.35,404.14,0.59388,-0.33115,7.3,0.315,0.16,1.0,67.0105,753.3343,565.8579,6113.5497
2004-01-28,71.439107,103.25362723082272,8535.71,1648.44,16.78,407.483,0.53287,-0.32949,7.3,0.2991,0.16,1.0,66.9255,753.2248,565.8579,6113.5497
2004-01-29,63.815007,103.15420803823828,8449.36,1657.09,17.14,406.822,0.52787,-0.36472,7.3,0.2866,0.16,1.0,66.9298,752.0683,565.8579,6113.5497
2004-01-30,54.143354,103.09801113966472,8521.39,1652.73,16.63,404.754,0.52856,-0.3629,7.3,0.2866,0.1,1.0,67.0039,751.5527,565.8579,6113.5497
2004-01-31,54.143354,103.09801113966472,8521.39,1652.73,16.63,404.754,0.52856,-0.3629,8.3,0.2866,0.1,1.0,67.0039,751.5527,565.8579,6113.5497
2004-02-02,62.894566,103.17835807478156,8639.89,1658.79,17.11,406.272,0.51778,-0.30993,8.3,0.2777,0.1,1.0,67.0749,750.0429,565.8579,6113.5497
2004-02-03,60.119059,103.14800757547148,8660.7,1659.92,17.34,402.021,0.49644,-0.30838,8.3,0.1903,0.1,1.0,67.1468,751.3973,565.8579,6113.5497
2004-02-04,65.85242,103.15904421413865,8538.12,1646.29,17.87,403.076,0.51803,-0.30684,8.3,0.2133,0.1,1.0,66.9675,749.0513,565.8579,6113.5497
2004-02-05,63.240669,103.13741301921011,8548.41,1649.35,17.71,404.779,0.51515,-0.32855,8.3,0.1945,0.1,1.0,67.0018,748.7947,565.8579,6113.5497
2004-02-06,54.378274,103.05613565484376,8638.61,1670.14,16.0,399.499,0.50888,-0.32691,8.3,0.1833,0.17,1.0,67.1271,750.2941,565.8579,6113.5497
2004-02-09,58.970019,103.11586304407246,8695.2,1666.16,16.39,397.134,0.51771,-0.32528,8.3,0.1667,0.17,1.0,67.2163,750.0964,565.8579,6113.5497
2004-02-10,64.118255,103.17332347584784,8751.51,1674.55,15.94,402.132,0.51512,-0.32365,8.3,0.1667,0.17,1.0,67.3221,749.8675,565.8579,6113.5497
2004-02-11,56.258383,103.11166634551267,8767.73,1693.03,15.39,398.218,0.51255,-0.32203,8.3,0.1667,0.17,1.0,67.28,748.9203,565.8579,6113.5497
2004-02-12,62.768145,103.21459032628682,8725.04,1684.92,15.31,401.355,0.50864,-0.32042,8.3,0.1749,0.17,1.0,67.3294,748.8972,565.8579,6113.5497
2004-02-13,59.823492,103.17561922006249,8694.46,1675.86,15.58,400.343,0.45164,-0.26526,8.3,0.1749,0.1,1.0,67.2796,747.3811,565.8579,6113.5497
2004-02-16,59.823492,103.17561922006249,8747.51,1675.86,15.58,400.343,0.44938,-0.26393,8.3,0.1749,0.1,1.0,67.3671,747.2235,565.8579,6113.5497
2004-02-17,62.455024,103.19408284314808,8767.1,1692.22,15.4,399.74,0.4423,-0.26261,8.3,0.1341,0.1,1.0,67.4921,748.4464,565.8579,6113.5497
2004-02-18,64.234805,103.20390735354432,8717.83,1684.9,15.59,400.978,0.42831,-0.2613,8.3,0.0483,0.1,1.0,67.544,748.8455,565.8579,6113.5497
2004-02-19,61.213954,103.19517982437378,8699.09,1678.01,15.8,399.731,0.41705,-0.25999,8.3,0.0376,0.1,1.0,67.4543,747.6017,565.8579,6113.5497
2004-02-20,64.456504,103.17196227327727,8641.93,1673.71,16.04,404.652,0.41496,-0.12551,8.3,0.0376,0.12,1.0,67.4875,748.0147,565.8579,6113.5497
2004-02-23,56.802411,103.18405682542266,8609.62,1669.2,16.29,395.767,0.41289,-0.12489,8.3,0.0376,0.12,1.0,67.4133,746.7251,565.8579,6113.5497
2004-02-24,58.701491,103.23667696890324,8604.99,1666.42,15.9,394.756,0.3949,-0.12426,8.3,0.0376,0.12,1.0,67.498,747.0792,565.8579,6113.5497
2004-02-25,60.345514,103.24523383370314,8637.32,1673.34,14.93,393.707,0.39292,-0.12364,8.3,0.0376,0.12,1.0,67.5844,746.6526,565.8579,6113.5497
2004-02-26,60.746628,103.26553878141404,8737.84,1675.63,14.83,395.586,0.38167,-0.12302,8.3,0.0169,0.12,1.0,67.6428,746.7667,565.8579,6113.5497
