Date,cad_oas,cad_ig_er_index,tsx,s&p_500,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,spx_1bf_eps,spx_1bf_sales,tsx_1bf_eps,tsx_1bf_sales
2003-11-21,73.317473,101.95843782610125,7783.59,1508.21,18.98,408.332,0.4246,-0.1751,5.7,0.4209,0.11,1.0,64.6938,740.3224,560.039,6406.0664
2003-11-28,79.693865,102.19205428584524,7859.39,1542.07,16.32,422.961,0.5082,-0.17077,5.7,0.4669,0.06,1.0,64.9663,743.2469,562.8038,6070.9267
2003-12-05,66.455945,102.2970047289075,7990.28,1547.52,17.09,417.689,0.53935,-0.14891,6.3,0.4083,0.12,1.0,64.9469,749.7574,563.2881,6104.8705
2003-12-12,66.262961,102.59814892871474,7979.2,1566.5,16.41,419.678,0.53646,-0.13339,6.3,0.3707,0.13,1.0,65.0675,749.7506,564.3069,6112.4724
2003-12-19,69.327974,102.76294220057248,8113.82,1588.19,16.42,408.935,0.5818,-0.36073,6.3,0.4407,0.08,1.0,65.3515,751.9735,569.5113,6171.8457
2003-12-26,66.142013,102.75684633161096,8136.78,1598.75,17.45,410.376,0.51802,-0.38747,6.3,0.3409,0.0,1.0,65.6211,753.7798,569.4063,6144.3586
2004-01-02,72.793447,102.90408809398978,8293.7,1618.05,18.22,419.626,0.53837,-0.36283,7.3,0.349,0.0,1.0,65.891,754.9213,565.8579,6113.5497
2004-01-09,54.748809,102.79583650617572,8352.19,1638.14,16.75,409.959,0.54996,-0.35385,7.3,0.393,0.02,1.0,66.6507,755.7739,565.8579,6113.5497
2004-01-16,64.525331,103.06610512714516,8522.26,1664.57,15.0,402.171,0.5975,-0.34297,7.3,0.3327,0.0,1.0,66.8828,754.9697,565.8579,6113.5497
2004-01-23,69.15961,103.2245628828841,8604.73,1667.26,14.84,406.111,0.60512,-0.33448,7.3,0.315,0.16,1.0,67.0038,754.3761,565.8579,6113.5497
2004-01-30,54.143354,103.09801113966472,8521.39,1652.73,16.63,404.754,0.52856,-0.3629,7.3,0.2866,0.1,1.0,67.0039,751.5527,565.8579,6113.5497
2004-02-06,54.378274,103.05613565484376,8638.61,1670.14,16.0,399.499,0.50888,-0.32691,8.3,0.1833,0.17,1.0,67.1271,750.2941,565.8579,6113.5497
2004-02-13,59.823492,103.17561922006249,8694.46,1675.86,15.58,400.343,0.45164,-0.26526,8.3,0.1749,0.1,1.0,67.2796,747.3811,565.8579,6113.5497
2004-02-20,64.456504,103.17196227327727,8641.93,1673.71,16.04,404.652,0.41496,-0.12551,8.3,0.0376,0.12,1.0,67.4875,748.0147,565.8579,6113.5497
2004-02-27,56.991062,103.2120241921356,8788.49,1675.7,14.55,389.882,0.40151,-0.12241,8.3,0.0169,0.15,1.0,67.6511,746.2554,565.8579,6113.5497
2004-03-05,55.415972,103.14702471319238,8845.04,1693.76,14.48,381.16,0.3763,-0.03222,9.7,-0.036,0.17,1.0,67.7514,738.4735,565.8579,6113.5497
2004-03-12,68.654393,102.99763375916802,8592.04,1641.42,18.3,376.828,0.32826,-0.03734,9.7,0.0011,0.16,1.0,67.9839,740.2323,565.8579,6113.5497
2004-03-19,70.126013,102.98283427955796,8583.81,1625.84,19.15,378.606,0.2885,0.03536,9.7,-0.0767,0.19,1.0,68.2809,739.9234,565.8579,6113.5497
2004-03-26,76.012642,103.03346093981772,8509.56,1623.36,17.33,382.35,0.33354,0.01136,9.7,-0.0207,0.15,1.0,69.0718,744.2182,565.8579,6113.5497
2004-04-02,85.009206,103.16996570576056,8798.75,1673.41,15.64,403.318,0.3199,0.03503,11.2,-0.0382,0.14,1.0,69.6285,737.7002,565.8579,6113.5497
2004-04-09,68.197719,103.0071261937106,8833.48,1670.36,16.26,409.529,0.34196,0.05184,11.2,-0.1545,0.19,1.0,69.7528,735.3922,565.8579,6113.5497
2004-04-16,61.368508,103.06369423588532,8695.35,1663.62,14.94,423.23,0.39433,0.26478,11.2,0.0281,0.27,1.0,69.8278,734.3101,565.8579,6113.5497
2004-04-23,69.092431,103.2029388846459,8667.87,1672.62,14.01,425.893,0.41833,0.25822,11.2,0.06,0.36,1.0,70.6845,746.3004,565.8579,6113.5497
2004-04-30,54.22657,103.16331493579897,8243.97,1624.51,17.19,431.802,0.43103,0.24927,11.8,0.0741,0.29,1.0,71.0542,746.5364,565.8579,6113.5497
2004-05-07,82.706146,103.28143627034846,8274.79,1612.31,18.13,440.801,0.49244,0.27297,11.8,0.1832,0.28,1.0,71.3715,751.9805,565.8579,6113.5497
2004-05-14,66.899619,103.03342598446469,8188.08,1609.12,18.47,450.674,0.48439,0.26421,11.8,0.1576,0.21,1.0,71.7455,755.4228,565.8579,6113.5497
2004-05-21,70.6695,103.01528929673968,8210.48,1606.49,18.49,443.877,0.45951,0.25767,11.8,0.1362,0.16,1.0,72.1588,758.006,565.8579,6113.5497
2004-05-28,74.275082,102.96226716669938,8347.08,1646.8,15.5,426.962,0.35962,0.29173,11.8,0.1216,0.17,1.0,72.9108,759.923,565.8579,6113.5497
2004-06-04,82.417648,103.03119912285749,8348.78,1650.08,16.78,426.159,0.39749,0.27694,11.6,0.2242,0.1,1.0,73.131,759.2445,565.8579,6113.5497
2004-06-11,71.154305,103.03629746390553,8366.63,1671.02,15.04,420.384,0.36666,0.31746,11.6,0.2539,0.2,1.0,73.3843,759.2672,565.8579,6113.5497
2004-06-18,71.544459,103.1033531400853,8468.01,1669.39,14.99,410.023,0.42807,0.34661,11.6,0.292,0.17,1.0,73.8884,757.3211,565.8579,6113.5497
2004-06-25,68.191584,103.0431415164074,8497.77,1668.93,15.19,403.994,0.39468,0.33803,11.6,0.3433,0.07,1.0,74.2397,753.7271,565.8579,6113.5497
2004-07-02,58.949396,102.9299159874781,8487.31,1656.33,15.08,392.782,0.32045,0.42378,11.4,0.1806,0.02,0.99,74.4682,775.2005,565.8579,6113.5497
2004-07-09,69.346546,102.94608078205326,8473.18,1638.42,15.78,394.12,0.35024,0.41329,11.4,0.198,0.01,0.99,74.4007,773.6614,565.8579,6113.5497
2004-07-16,61.901271,102.86539868678685,8350.46,1621.81,14.34,378.29,0.32301,0.42057,11.4,0.0975,0.07,0.99,74.2033,769.115,565.8579,6113.5497
2004-07-23,69.70436,102.9405485833883,8383.31,1599.62,16.5,380.673,0.27284,0.41016,11.4,0.0028,0.14,0.99,74.6828,773.2555,565.8579,6113.5497
2004-07-30,68.388635,103.04090745810988,8458.07,1623.26,15.32,376.561,0.27038,0.40001,11.4,-0.0054,0.14,0.99,75.183,776.3565,565.8579,6113.5497
2004-08-06,68.811948,102.9792739740429,8176.68,1568.07,19.34,360.208,0.26889,0.20597,11.5,-0.0573,0.06,1.0,74.7243,784.2386,565.8579,6113.5497
2004-08-13,67.556127,103.07197968265,8172.63,1570.44,17.98,359.376,0.24111,0.18662,11.5,-0.1394,0.06,1.0,74.5015,780.9941,565.8579,6113.5497
2004-08-20,67.220209,103.11069170802251,8335.62,1620.47,16.0,353.999,0.22053,0.04708,11.5,-0.0398,0.11,1.0,75.1242,780.7922,565.8579,6113.5497
2004-08-27,67.414537,103.13286162662702,8334.29,1634.83,14.71,346.446,0.19016,0.04592,11.5,-0.15,0.15,1.0,75.4712,782.6546,565.8579,6113.5497
2004-09-03,66.772285,103.2011222343874,8344.42,1644.25,13.91,341.384,0.14602,0.05456,11.3,-0.1744,0.1,1.0,75.3306,779.0105,565.8579,6113.5497
2004-09-10,68.440489,103.15611002068208,8368.62,1659.84,13.76,332.896,0.18473,0.11835,11.3,-0.1614,0.07,1.0,75.7545,780.8829,565.8579,6113.5497
2004-09-17,67.906747,103.20421372693257,8529.89,1667.25,14.03,321.698,0.15744,0.04328,11.3,-0.2038,0.09,1.0,75.8549,782.261,565.8579,6113.5497
2004-09-24,67.713246,103.1894152754211,8588.4,1640.4,14.28,307.815,0.148,0.04221,11.3,-0.261,0.07,1.0,76.0216,782.1333,565.8579,6113.5497
2004-10-01,66.216132,103.2169570093061,8747.09,1672.49,12.75,325.347,0.18617,-0.0605,11.1,-0.1776,0.05,1.0,76.3578,783.314,565.8579,6113.5497
2004-10-08,66.527579,103.1848464051615,8814.89,1659.51,15.05,321.749,0.15693,-0.059,11.1,-0.3411,0.05,1.0,76.6837,792.3925,565.8579,6113.5497
2004-10-15,66.203786,103.2280224347346,8788.93,1639.08,15.04,310.868,0.10993,-0.07531,11.1,-0.2862,0.01,1.0,77.0246,795.4021,565.8579,6113.5497
2004-10-22,67.475436,103.17804142040713,8780.8,1620.85,15.28,290.944,0.15485,0.00324,11.1,-0.2306,-0.05,1.0,77.2613,799.3721,565.8579,6113.5497
2004-10-29,66.677274,103.22755567796187,8870.97,1672.65,16.27,290.237,0.23685,-0.01528,11.1,-0.2141,0.01,1.0,77.8118,797.3687,565.8579,6113.5497
2004-11-05,66.115005,103.41169430908673,8868.74,1726.34,13.84,293.73,0.22414,-0.03788,10.3,-0.2136,0.02,1.0,78.0898,799.1254,565.8579,6113.5497
2004-11-12,66.225832,103.3871505107726,8896.37,1754.33,13.33,285.442,0.2081,-0.00748,10.3,-0.1224,0.05,1.0,78.3392,801.9687,565.8579,6113.5497
2004-11-19,64.793346,103.56680766002034,8959.4,1734.45,13.5,275.032,0.21065,0.10494,10.3,-0.0629,0.04,1.0,78.4864,801.3495,565.8579,6113.5497
2004-11-26,64.518796,103.58159891484148,9057.97,1753.09,12.78,269.219,0.16827,0.10235,10.3,-0.041,-0.05,1.0,78.7503,801.2581,565.8579,6113.5497
2004-12-03,63.034056,103.63758916559274,9055.66,1766.63,12.96,271.93,0.15374,0.16815,10.0,-0.0097,-0.02,0.99,79.2861,805.1925,565.8579,6113.5497
2004-12-10,62.337564,103.70724079078366,8965.27,1762.51,12.76,257.614,0.16839,0.20821,10.0,-0.0261,-0.09,0.99,79.8726,807.1275,565.8579,6113.5497
2004-12-17,60.57037,103.90010900727624,9122.62,1772.19,11.95,263.796,0.14291,0.20305,10.0,-0.0705,0.0,0.99,79.8101,806.7179,565.8579,6113.5497
2004-12-24,59.950822,103.95139776304616,9287.4,1796.49,11.23,269.556,0.15359,0.21223,10.0,-0.072,-0.14,0.99,79.2923,799.2016,565.8579,6113.5497
2004-12-31,59.97322,103.91700992046208,9246.65,1799.55,13.29,265.036,0.16834,0.20697,10.2,-0.0735,-0.1,1.0,79.5923,800.2907,565.8579,6113.5497
2005-01-07,57.591428,103.99989620591484,9006.22,1762.12,13.49,255.837,0.16083,0.20185,10.2,-0.2069,-0.04,1.0,79.5923,800.2907,565.8579,6113.5497
